date,temp_mean,temp_max,temp_min,pressure_mean,pressure_min,pressure_max,humidity_mean,humidity_min,humidity_max,wind_speed_mean,wind_speed_min,wind_speed_max,wind_deg_mean,wind_deg_min,wind_deg_max,clouds_all_mean,clouds_all_min,clouds_all_max,weather_id_mode,total_solar,Day
2019-12-05,5.392916666666667,11.0,-0.2,1012.9166666666666,1005,1018,91.66666666666667,84,100,5.45,0.5,9.3,208.75,130,230,70.54166666666667,40,90,701,2.9,338
2019-12-06,10.363333333333332,13.0,7.0,1000.4166666666666,996,1004,87.75,78,96,7.091666666666665,3.6,9.3,240.83333333333334,210,280,48.166666666666664,18,90,802,2.9,339
2019-12-07,8.601250000000002,10.56,6.67,1006.6666666666666,999,1011,85.54166666666667,75,91,5.875000000000001,4.1,9.3,235.0,200,260,58.541666666666664,11,90,803,4.9,340
2019-12-08,8.164999999999997,12.0,4.44,991.875,987,997,79.45833333333333,65,94,8.84583333333333,6.2,11.3,232.91666666666666,210,260,26.083333333333332,0,90,800,6.5,341
2019-12-09,4.975416666666666,8.33,-0.56,1006.5416666666666,987,1022,74.91666666666667,59,91,6.079166666666666,1.0,11.3,280.0,210,330,20.5,0,75,800,7.1,342
2019-12-10,6.059583333333333,12.78,-1.0,1008.1666666666666,996,1022,90.625,85,97,7.583333333333332,1.0,13.9,202.08333333333334,170,270,75.41666666666667,1,100,804,0.6,343
2019-12-11,4.103749999999999,8.33,0.0,1001.9166666666666,999,1005,90.75,83,97,4.562499999999998,3.1,6.2,222.08333333333334,190,260,22.708333333333332,0,90,800,5.2,344
2019-12-12,3.791666666666666,8.0,-0.4,986.3333333333334,971,1000,95.45833333333333,93,98,4.95,3.1,7.7,190.0,150,250,57.208333333333336,1,90,500,0.8,345
2019-12-13,5.759166666666666,8.33,2.78,975.0,969,979,87.29166666666667,79,99,5.679166666666667,0.5,9.3,248.33333333333334,220,270,59.666666666666664,20,100,803,2.8,346
2019-12-14,4.404166666666667,6.67,2.22,984.0833333333334,978,990,80.04166666666667,68,91,6.479166666666665,3.6,11.3,237.91666666666666,170,290,35.083333333333336,0,90,801,3.3,347
2019-12-15,5.06375,7.78,1.67,990.0833333333334,981,996,82.25,70,94,6.087499999999999,1.0,9.3,219.16666666666666,170,250,38.875,1,90,801,6.3,348
2019-12-16,4.483333333333334,7.22,1.0,998.0,995,1000,92.625,87,100,3.7458333333333322,1.0,7.2,181.66666666666666,70,210,53.75,20,100,802,2.2,349
2019-12-17,2.6100000000000003,6.67,-1.0,999.8333333333334,997,1005,98.16666666666667,94,100,1.977083333333334,0.5,4.6,221.66666666666666,40,340,48.791666666666664,1,100,741,2.2,350
2019-12-18,4.154583333333333,9.1,-1.0,1006.5833333333334,1000,1010,96.20833333333333,83,100,4.462500000000001,2.6,8.2,168.75,130,230,80.125,1,100,741,1.4,351
2019-12-19,10.131666666666666,12.78,7.78,994.5833333333334,987,1000,91.625,86,96,6.7541666666666655,4.1,8.2,162.08333333333334,130,180,60.208333333333336,20,100,802,2.1,352
2019-12-20,7.197916666666667,11.11,3.33,978.9166666666666,974,987,95.54166666666667,89,100,4.066666666666666,2.1,6.2,205.0,60,350,73.58333333333333,1,90,501,2.1,353
2019-12-21,6.201666666666667,9.0,2.7,977.75,974,981,94.75,88,99,3.7458333333333322,2.6,5.1,160.41666666666666,80,200,51.125,1,75,803,2.6,354
2019-12-22,6.595833333333332,8.33,4.0,982.2083333333334,974,992,91.95833333333333,76,99,4.1291666666666655,2.6,6.2,228.33333333333334,10,350,71.95833333333333,20,90,803,2.5999999999999996,355
2019-12-23,6.451666666666664,9.5,3.0,1002.0416666666666,993,1008,84.625,69,93,5.074999999999999,2.6,7.2,243.75,210,270,34.5,1,75,802,5.8,356
2019-12-24,7.173333333333335,10.56,5.0,1004.7916666666666,1001,1013,89.25,80,99,4.629166666666666,2.6,8.2,232.91666666666666,150,300,61.208333333333336,0,90,802,5.8,357
2019-12-25,4.38375,8.33,-0.4,1020.7916666666666,1013,1024,89.29166666666667,80,100,2.9500000000000006,1.0,5.7,235.41666666666666,70,310,19.166666666666668,0,75,800,7.1,358
2019-12-26,4.732499999999999,7.3,0.0,1016.75,1012,1023,96.45833333333333,85,100,3.958333333333332,2.1,7.7,88.33333333333333,20,130,68.75,40,100,803,7.1,359
2019-12-27,6.537916666666668,8.0,5.48,1027.5416666666667,1019,1033,93.625,89,97,2.1250000000000004,1.0,4.1,161.25,10,360,83.33333333333333,40,90,804,1.2,360
2019-12-28,7.511666666666667,9.44,5.6,1033.5416666666667,1033,1035,96.375,93,100,3.724999999999999,2.6,4.6,184.16666666666666,150,200,86.25,75,90,804,1.0,361
2019-12-29,6.880833333333332,9.0,4.0,1029.8333333333333,1027,1033,91.95833333333333,86,95,4.699999999999998,3.1,6.7,203.33333333333334,190,210,68.75,20,90,802,1.9,362
2019-12-30,5.985,10.0,2.7,1025.7083333333333,1024,1029,90.83333333333333,76,100,5.1999999999999975,1.5,9.3,243.75,190,280,43.791666666666664,1,90,804,7.0,363
2019-12-31,4.416666666666666,8.33,0.0,1032.2916666666667,1029,1035,95.58333333333333,87,100,2.4291666666666676,0.5,4.1,91.25,10,340,48.041666666666664,1,98,800,4.2,364
2020-01-01,4.867500000000001,6.67,2.78,1027.125,1023,1031,93.29166666666667,86,100,3.2916666666666665,2.1,5.7,176.25,90,210,85.625,75,90,721,1.6,0
2020-01-02,8.192916666666667,10.56,5.0,1014.9166666666666,1009,1023,88.33333333333333,76,100,6.166666666666667,4.6,8.2,200.0,190,220,76.875,75,90,803,2.1,1
2020-01-03,7.374999999999997,10.56,4.0,1017.5416666666666,1008,1028,84.83333333333333,61,100,5.054166666666666,2.1,7.2,266.6666666666667,210,320,55.0,0,90,800,3.7,2
2020-01-04,6.963333333333334,9.44,3.89,1029.2916666666667,1027,1032,83.33333333333333,76,93,5.3374999999999995,2.6,9.3,265.0,230,300,54.75,0,90,803,4.0,3
2020-01-05,7.40125,10.0,5.0,1028.7083333333333,1025,1031,86.75,81,93,4.579166666666665,2.6,6.2,213.75,190,240,78.25,48,90,803,1.9,4
2020-01-06,7.234166666666668,9.44,3.89,1016.9166666666666,1011,1024,84.20833333333333,75,93,6.0249999999999995,4.1,8.2,215.0,190,260,60.416666666666664,0,90,803,0.9,5
2020-01-07,8.675833333333335,14.0,2.78,1015.625,1011,1020,90.20833333333333,86,93,6.837500000000002,3.1,10.8,211.66666666666666,190,250,45.625,0,90,800,1.0,6
2020-01-08,9.435416666666665,13.33,6.0,1016.7916666666666,1011,1020,80.20833333333333,61,93,4.287499999999999,1.0,8.7,223.75,70,290,48.291666666666664,0,99,803,1.2999999999999998,7
2020-01-09,7.985416666666666,12.22,4.44,1003.375,999,1012,87.20833333333333,76,100,5.829166666666667,2.6,8.2,240.0,100,360,76.66666666666667,40,90,803,3.0,8
2020-01-10,4.9020833333333345,8.0,2.22,1019.9166666666666,1008,1025,87.5,70,100,4.670833333333332,2.6,6.7,267.0833333333333,180,330,42.875,0,99,803,6.800000000000001,9
2020-01-11,8.941666666666666,11.11,5.0,1016.7916666666666,1013,1023,82.58333333333333,76,93,8.69166666666667,6.2,13.9,206.25,190,220,71.58333333333333,0,100,803,6.800000000000001,10
2020-01-12,7.714583333333333,10.56,3.89,1013.125,1009,1017,88.375,70,100,5.049999999999999,1.5,8.7,233.75,160,290,59.166666666666664,20,100,801,4.0,11
2020-01-13,6.081666666666667,10.0,3.0,1002.75,990,1015,91.33333333333333,81,100,6.6116666666666655,3.58,11.3,193.70833333333334,169,260,53.541666666666664,0,100,800,2.0,12
2020-01-14,8.493750000000002,14.0,4.44,989.5833333333334,983,993,87.625,82,93,7.779166666666668,4.6,14.9,204.58333333333334,160,260,53.75,0,90,800,1.2,13
2020-01-15,7.005833333333334,10.0,5.0,1001.7916666666666,992,1013,84.04166666666667,70,93,5.312500000000001,3.1,8.2,222.08333333333334,200,270,29.791666666666668,0,90,800,4.0,14
2020-01-16,7.792083333333334,12.22,3.33,1010.25,1004,1016,87.375,81,93,6.741666666666666,4.1,9.8,180.0,160,200,44.416666666666664,0,75,803,4.0,15
2020-01-17,6.827083333333334,11.11,2.6,1007.8333333333334,1004,1015,88.20833333333333,76,93,4.88625,0.89,8.7,218.125,170,310,52.625,0,100,803,3.1,16
2020-01-18,3.9262499999999996,8.0,1.0,1024.0,1016,1033,82.70833333333333,65,93,5.124999999999999,3.1,7.2,282.9166666666667,260,320,7.416666666666667,0,83,800,8.899999999999999,17
2020-01-19,2.5774999999999997,7.0,-2.22,1041.375,1034,1045,83.875,70,93,2.7791666666666672,1.5,4.1,287.0833333333333,200,330,0.041666666666666664,0,1,800,9.2,18
2020-01-20,3.08,9.44,-1.0,1042.5833333333333,1040,1045,91.08333333333333,75,100,2.8875000000000006,0.5,5.7,243.33333333333334,200,300,16.208333333333332,0,99,800,9.2,19
2020-01-21,3.1668000000000007,10.0,-2.0,1037.96,1037,1040,94.44,75,100,1.9680000000000006,0.5,3.6,251.6,180,300,22.6,0,90,741,8.7,20
2020-01-22,5.449166666666667,11.0,1.0,1035.75,1035,1037,97.66666666666667,93,100,1.6954166666666668,0.5,2.6,277.2916666666667,110,320,77.08333333333333,40,90,701,2.0,21
2020-01-23,6.2250000000000005,9.0,3.0,1029.4583333333333,1023,1035,99.125,93,100,2.329166666666667,1.0,4.1,244.16666666666666,130,290,89.375,75,90,741,2.0,22
2020-01-24,6.870000000000002,10.0,5.0,1019.2916666666666,1017,1022,94.125,81,100,2.612500000000001,1.5,3.6,239.16666666666666,200,270,85.625,75,90,701,2.0,23
2020-01-25,5.962083333333332,7.0,4.44,1014.0833333333334,1009,1018,92.33333333333333,87,100,3.291250000000001,0.45,6.2,206.08333333333334,153,240,93.66666666666667,75,100,804,2.0,24
2020-01-26,6.981249999999999,10.0,3.0,1004.2083333333334,1000,1011,95.83333333333333,85,100,4.84375,1.79,7.2,190.08333333333334,170,230,82.33333333333333,20,100,701,3.5,25
2020-01-27,5.7754166666666675,10.0,2.78,994.5416666666666,987,1000,91.95833333333333,81,100,4.458333333333331,2.1,6.2,194.58333333333334,160,220,49.166666666666664,0,90,803,7.1,26
2020-01-28,4.244166666666667,7.78,1.67,990.125,985,996,81.79166666666667,65,93,6.854166666666665,4.1,10.3,248.75,190,270,44.791666666666664,0,75,803,5.9,27
2020-01-29,5.804166666666666,9.44,1.67,1001.625,997,1004,77.16666666666667,65,87,7.454166666666665,5.7,10.3,247.91666666666666,210,270,57.5,0,90,803,7.8,28
2020-01-30,8.674999999999999,12.22,5.0,998.375,992,1003,88.04166666666667,81,100,6.2124999999999995,4.6,9.8,218.33333333333334,180,270,73.95833333333333,0,100,804,1.4,29
2020-01-31,10.235416666666666,13.33,6.0,998.1666666666666,994,1001,87.29166666666667,81,93,6.366666666666666,2.1,9.8,219.16666666666666,190,260,61.291666666666664,0,98,803,1.6,30
2020-02-01,9.441666666666665,11.67,6.67,996.75,993,1003,72.16666666666667,53,87,8.649999999999999,3.6,13.4,245.41666666666666,210,270,45.083333333333336,0,75,803,10.0,31
2020-02-02,7.79375,12.0,4.78,1002.5,1000,1006,89.5,76,100,4.220833333333334,1.0,7.7,197.08333333333334,80,270,67.70833333333333,0,100,803,10.0,32
2020-02-03,7.6379166666666665,11.11,3.0,1008.0833333333334,1003,1010,73.08333333333333,57,87,6.524999999999999,3.6,9.3,258.75,220,280,44.375,0,94,803,7.9,33
2020-02-04,5.909166666666668,10.56,2.0,1018.5833333333334,1009,1031,73.33333333333333,57,93,7.208333333333331,3.6,10.8,300.8333333333333,250,350,59.166666666666664,20,75,803,3.0,34
2020-02-05,3.7223999999999995,9.44,-2.22,1032.88,1031,1035,88.48,75,95,2.0800000000000005,1.0,4.6,260.4,190,350,32.2,0,75,801,8.600000000000001,35
2020-02-06,2.749285714285714,11.11,-2.0,1028.5357142857142,1026,1032,91.64285714285714,70,100,1.860714285714286,0.5,4.6,196.07142857142858,90,280,6.642857142857143,0,20,701,11.0,36
2020-02-07,3.9145833333333333,10.56,-3.0,1016.2916666666666,1009,1024,89.375,66,100,4.104166666666668,1.5,6.7,139.58333333333334,90,180,32.708333333333336,0,90,800,8.8,37
2020-02-08,8.01,10.0,5.0,1008.5,1004,1013,79.625,61,93,6.6208333333333345,4.1,11.3,201.66666666666666,170,240,35.416666666666664,0,75,800,6.5,38
2020-02-09,10.115416666666668,14.44,7.0,982.6666666666666,974,1002,82.20833333333333,70,100,14.10416666666667,9.3,19.5,220.41666666666666,190,250,76.04166666666667,20,100,804,6.5,39
2020-02-10,4.96375,8.89,0.0,988.0416666666666,980,992,78.83333333333333,61,100,9.625,4.1,11.8,250.83333333333334,220,280,31.541666666666668,0,90,800,7.2,40
2020-02-11,4.185416666666667,7.22,2.22,997.75,991,1003,68.20833333333333,60,75,12.087500000000004,8.7,13.9,258.75,250,270,18.333333333333332,0,40,801,9.8,41
2020-02-12,4.145416666666667,9.44,1.0,1007.0833333333334,1004,1010,69.79166666666667,49,85,8.179166666666664,2.6,12.3,242.5,180,270,21.208333333333332,0,99,801,12.6,42
2020-02-13,5.664583333333334,10.56,1.11,994.4166666666666,986,1006,87.625,76,100,6.087499999999999,4.1,9.3,235.41666666666666,150,320,60.833333333333336,0,90,803,12.6,43
2020-02-14,6.5325,11.67,0.0,1010.5833333333334,1008,1013,89.20833333333333,76,100,5.362500000000001,1.5,9.8,213.75,130,310,70.625,0,90,803,6.5,44
2020-02-15,10.988333333333332,14.44,6.0,997.125,986,1010,89.91666666666667,76,100,10.54166666666667,3.6,17.0,195.0,170,220,81.25,0,90,804,6.5,45
